INDUS,DIS,NOX,RAD,TAX,MEDV-result
15.664,1.07672,0.6968,4,322.4,1
6.512,3.3864,0.4304,3.2,245.6,1
6.512,3.02976,0.4304,3.2,245.6,1
15.664,1.38912,0.6968,4,322.4,1
6.512,3.192,0.4304,3.2,245.6,1
17.512,1.33488,0.4992,3.2,349.6,1
15.664,1.05728,0.6968,4,322.4,1
6.512,3.00784,0.4304,3.2,245.6,1
6.512,3.03832,0.4304,3.2,245.6,1
15.664,1.13528,0.6968,4,322.4,1
6.512,3.56368,0.4304,3.2,245.6,1
17.512,1.28952,0.4992,3.2,349.6,1
17.512,1.58392,0.4992,3.2,349.6,1
5.528,4.696,0.3584,2.4,186.4,1
17.512,1.15152,0.4992,3.2,349.6,1
6.512,3.27616,0.4304,3.2,245.6,1
6.512,3.34,0.4304,3.2,245.6,1
15.664,1.16864,0.6968,4,322.4,1
6.512,3.56272,0.4304,3.2,245.6,1
6.296,5.07736,0.4192,4,248.8,1
6.512,3.18152,0.4304,3.2,245.6,1
15.664,1.28816,0.6968,4,322.4,1
15.664,1.22056,0.6968,4,322.4,1
6.512,3.51968,0.4304,3.2,245.6,1
17.512,1.8768,0.4992,3.2,349.6,1
15.664,1.12944,0.6968,4,322.4,1
15.664,1.21328,0.6968,4,322.4,1
15.664,1.3964,0.6968,4,322.4,1
20.52,1.40576,0.4648,1.6,150.4,1
4.104,5.4548,0.3624,6.4,227.2,1
17.512,1.43064,0.4992,3.2,349.6,1
6.296,4.86568,0.4192,4,248.8,1
6.512,3.7456,0.4304,3.2,245.6,1
5.528,4.55152,0.3584,2.4,186.4,1
15.664,1.39952,0.6968,4,322.4,1
17.512,1.47984,0.4992,3.2,349.6,1
20.52,1.55552,0.4648,1.6,150.4,1
4.856,5.1984,0.3272,3.2,276,1
17.512,1.57352,0.4992,3.2,349.6,1
15.664,1.94072,0.484,4,322.4,1
6.512,3.40632,0.4304,3.2,245.6,1
4.688,6.36392,0.3448,5.6,264,1
17.512,1.33496,0.4992,3.2,349.6,1
15.664,1.22368,0.6968,4,322.4,1
17.512,1.45,0.4992,3.2,349.6,1
17.512,1.68856,0.4992,3.2,349.6,1
6.512,3.56952,0.4304,3.2,245.6,1
6.512,3.0372,0.4304,3.2,245.6,1
8.008,1.97048,0.4376,4.8,345.6,1
6.512,3.56376,0.4304,3.2,245.6,1
17.512,1.97592,0.4992,3.2,349.6,1
8.008,1.8052,0.4376,4.8,345.6,1
4.688,6.36392,0.3448,5.6,264,1
6.848,2.17176,0.416,4,307.2,1
4.104,5.78032,0.3624,6.4,227.2,1
8.008,2.0384,0.4376,4.8,345.6,1
8.008,1.88272,0.4376,4.8,345.6,1
20.52,1.60504,0.4648,1.6,150.4,1
6.296,5.27368,0.4192,4,248.8,1
6.296,4.98136,0.4192,4,248.8,1
4.768,2.68824,0.3992,4,223.2,1
3.2,5.85576,0.328,2.4,375.2,1
15.664,1.91096,0.484,4,322.4,1
8.008,2.19792,0.4376,4.8,345.6,1
17.512,1.6948,0.4992,3.2,349.6,1
5.528,4.08032,0.3584,2.4,186.4,1
6.848,2.17176,0.416,4,307.2,1
8.008,2.20736,0.4376,4.8,345.6,1
8.472,2.932,0.3912,3.2,221.6,1
5.528,4.87016,0.3584,2.4,186.4,1
2.696,5.2892,0.3184,3.2,269.6,1
6.848,2.03608,0.416,4,307.2,1
15.664,1.29856,0.6968,4,322.4,1
6.848,1.68552,0.416,4,307.2,1
6.848,1.7688,0.416,4,307.2,1
6.512,3.20984,0.4304,3.2,245.6,1
4.104,5.5456,0.3624,6.4,227.2,1
17.512,1.8168,0.4992,3.2,349.6,1
15.664,1.27328,0.6968,4,322.4,1
4.512,5.45176,0.3512,3.2,194.4,1
6.848,1.94632,0.416,4,307.2,1
6.512,3.59888,0.4304,3.2,245.6,1
4.768,2.70232,0.3992,4,223.2,1
5.528,4.08032,0.3584,2.4,186.4,1
10.264,3.24176,0.3496,4,318.4,1
8.472,3.1,0.3912,3.2,221.6,1
6.848,1.9368,0.416,4,307.2,1
3.944,5.06888,0.3424,4.8,240,1
1.408,7.27136,0.308,0.8,192.8,1
6.512,3.0372,0.4304,3.2,245.6,1
10.264,3.60208,0.3496,4,318.4,1
20.52,1.75792,0.4648,1.6,150.4,1
11.136,5.056,0.3496,3.2,231.2,1
6.512,3.766,0.4304,3.2,245.6,1
6.848,1.69792,0.416,4,307.2,1
8.008,1.982,0.4376,4.8,345.6,1
4.512,5.45176,0.3512,3.2,194.4,1
20.52,1.66952,0.4648,1.6,150.4,1
4.688,6.4444,0.3448,5.6,264,1
12.032,2.892,0.3712,3.2,216,1
5.568,3.134,0.3712,2.4,178.4,1
10.264,3.2724,0.3496,4,318.4,1
4.856,5.1984,0.3272,3.2,276,1
2.912,7.37624,0.3136,0.8,252,1
6.512,3.3912,0.4304,3.2,245.6,1
4.768,3.14736,0.3992,4,223.2,1
5.568,3.5432,0.3712,2.4,178.4,1
5.528,4.57672,0.3584,2.4,186.4,1
10.264,4.01128,0.3496,4,318.4,1
8.008,2.18408,0.4376,4.8,345.6,1
10.264,3.60208,0.3496,4,318.4,1
2.312,2.79616,0.356,1.6,220.8,1
20.52,1.59432,0.4648,1.6,150.4,1
15.664,1.2944,0.6968,4,322.4,1
11.112,2.31144,0.44,4,220.8,1
5.656,3.97368,0.3752,1.6,193.6,1
6.296,4.36072,0.4192,4,248.8,1
8.648,4.22984,0.3304,3.2,244,1
6.848,2.22224,0.416,4,307.2,1
8.472,3.10168,0.3912,3.2,221.6,1
4.96,2.4384,0.4056,6.4,245.6,1
11.136,4.40216,0.3496,3.2,231.2,1
2.912,7.37624,0.3136,0.8,252,1
4.856,5.1984,0.3272,3.2,276,1
2.728,2.47368,0.3912,1.6,216,1
20.52,1.80616,0.4648,1.6,150.4,1
3.944,5.06888,0.3424,4.8,240,1
1.8,5.84584,0.3112,0.8,240,1
4.104,5.7804,0.3624,6.4,227.2,1
3.592,2.99808,0.3592,2.4,197.6,1
3.944,5.6284,0.3424,4.8,240,1
15.664,1.81,0.484,4,322.4,1
4.256,5.85376,0.324,4.8,234.4,1
8.472,2.92208,0.3912,3.2,221.6,1
3.592,3.54176,0.3592,2.4,197.6,1
8.472,3.48392,0.3912,3.2,221.6,1
1.792,6.26224,0.32,4,286.4,1
2.728,2.47384,0.3912,1.6,216,1
